film_id,title,description,special_features,rating,length,rental_duration,rental_rate,replacement_cost,language_id
35,ARACHNOPHOBIA ROLLERCOASTER,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,"Trailers, Deleted Scenes, Behind the Scenes",PG-13,147,4,2.99,24.99,1
36,ARGONAUTS TOWN,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,"Trailers, Commentaries",PG-13,127,7,0.99,12.99,1
37,ARIZONA BANG,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,"Trailers, Deleted Scenes",PG,121,3,2.99,28.99,1
38,ARK RIDGEMONT,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,"Trailers, Commentaries, Deleted Scenes, Behind the Scenes",NC-17,68,6,0.99,25.99,1
39,ARMAGEDDON LOST,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,Trailers,G,99,5,0.99,10.99,1
40,ARMY FLINTSTONES,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,"Trailers, Commentaries",R,148,4,0.99,22.99,1
41,ARSENIC INDEPENDENCE,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,"Trailers, Deleted Scenes, Behind the Scenes",PG,137,4,0.99,17.99,1
42,ARTIST COLDBLOODED,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,"Trailers, Behind the Scenes",NC-17,170,5,2.99,10.99,1
43,ATLANTIS CAUSE,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,Behind the Scenes,G,170,6,2.99,15.99,1
44,ATTACKS HATE,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,"Trailers, Behind the Scenes",PG-13,113,5,4.99,21.99,1
45,ATTRACTION NEWTON,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,"Trailers, Behind the Scenes",PG-13,83,5,4.99,14.99,1
46,AUTUMN CROW,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,"Trailers, Commentaries, Deleted Scenes, Behind the Scenes",G,108,3,4.99,13.99,1
47,BABY HALL,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,Commentaries,NC-17,153,5,4.99,23.99,1
48,BACKLASH UNDEFEATED,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,"Trailers, Behind the Scenes",PG-13,118,3,4.99,24.99,1
49,BADMAN DAWN,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,"Trailers, Commentaries, Behind the Scenes",R,162,6,2.99,22.99,1
50,BAKED CLEOPATRA,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,"Commentaries, Behind the Scenes",G,182,3,2.99,20.99,1
51,BALLOON HOMEWARD,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,Deleted Scenes,NC-17,75,5,2.99,10.99,1
52,BALLROOM MOCKINGBIRD,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,"Commentaries, Deleted Scenes",G,173,6,0.99,29.99,1
53,BANG KWAI,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,"Commentaries, Deleted Scenes, Behind the Scenes",NC-17,87,5,2.99,25.99,1
54,BANGER PINOCCHIO,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,"Trailers, Commentaries, Deleted Scenes",R,113,5,0.99,15.99,1
55,BARBARELLA STREETCAR,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,Behind the Scenes,G,65,6,2.99,27.99,1
56,BAREFOOT MANCHURIAN,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,"Trailers, Commentaries",G,129,6,2.99,15.99,1
57,BASIC EASY,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,Deleted Scenes,PG-13,90,4,2.99,18.99,1
58,BEACH HEARTBREAKERS,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,"Deleted Scenes, Behind the Scenes",G,122,6,2.99,16.99,1
59,BEAR GRACELAND,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,Deleted Scenes,R,160,4,2.99,20.99,1
60,BEAST HUNCHBACK,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,"Deleted Scenes, Behind the Scenes",R,89,3,4.99,22.99,1
61,BEAUTY GREASE,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,"Trailers, Commentaries",G,175,5,4.99,28.99,1
62,BED HIGHBALL,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,"Trailers, Commentaries, Deleted Scenes",NC-17,106,5,2.99,23.99,1
63,BEDAZZLED MARRIED,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,"Trailers, Deleted Scenes, Behind the Scenes",PG,73,6,0.99,21.99,1
64,BEETHOVEN EXORCIST,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,"Commentaries, Behind the Scenes",PG-13,151,6,0.99,26.99,1
65,BEHAVIOR RUNAWAY,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,"Trailers, Deleted Scenes, Behind the Scenes",PG,100,3,4.99,20.99,1
66,BENEATH RUSH,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,"Commentaries, Deleted Scenes",NC-17,53,6,0.99,27.99,1
67,BERETS AGENT,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,Deleted Scenes,PG-13,77,5,2.99,24.99,1
68,BETRAYED REAR,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,"Commentaries, Deleted Scenes, Behind the Scenes",NC-17,122,5,4.99,26.99,1
69,BEVERLY OUTLAW,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,Trailers,R,85,3,2.99,21.99,1
70,BIKINI BORROWERS,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,"Commentaries, Deleted Scenes",NC-17,142,7,4.99,26.99,1
71,BILKO ANONYMOUS,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,"Commentaries, Deleted Scenes, Behind the Scenes",PG-13,100,3,4.99,25.99,1
72,BILL OTHERS,A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,"Trailers, Commentaries",PG,93,6,2.99,12.99,1
73,BINGO TALENTED,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,"Trailers, Commentaries",PG-13,150,5,2.99,22.99,1
74,BIRCH ANTITRUST,A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,"Trailers, Commentaries, Deleted Scenes",PG,162,4,4.99,18.99,1
75,BIRD INDEPENDENCE,A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,"Commentaries, Behind the Scenes",G,163,6,4.99,14.99,1
76,BIRDCAGE CASPER,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,"Commentaries, Deleted Scenes, Behind the Scenes",NC-17,103,4,0.99,23.99,1
77,BIRDS PERDITION,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,"Trailers, Behind the Scenes",G,61,5,4.99,15.99,1
78,BLACKOUT PRIVATE,A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan,"Trailers, Deleted Scenes",PG,85,7,2.99,12.99,1
79,BLADE POLISH,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,"Trailers, Behind the Scenes",PG-13,114,5,0.99,10.99,1
80,BLANKET BEVERLY,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,Trailers,G,148,7,2.99,21.99,1
81,BLINDNESS GUN,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,"Trailers, Behind the Scenes",PG-13,103,6,4.99,29.99,1
82,BLOOD ARGONAUTS,A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse,"Trailers, Commentaries, Behind the Scenes",G,71,3,0.99,13.99,1
83,BLUES INSTINCT,A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,"Trailers, Deleted Scenes, Behind the Scenes",G,50,5,2.99,18.99,1
84,BOILED DARES,A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan,"Trailers, Commentaries",PG,102,7,4.99,13.99,1
85,BONNIE HOLOCAUST,A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,Deleted Scenes,G,63,4,0.99,29.99,1
86,BOOGIE AMELIE,A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico,"Commentaries, Behind the Scenes",R,121,6,4.99,11.99,1
87,BOONDOCK BALLROOM,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,Behind the Scenes,NC-17,76,7,0.99,14.99,1
88,BORN SPINAL,A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria,"Trailers, Commentaries, Deleted Scenes",PG,179,7,4.99,17.99,1
89,BORROWERS BEDAZZLED,A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,"Commentaries, Deleted Scenes, Behind the Scenes",G,63,7,0.99,22.99,1
90,BOULEVARD MOB,A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China,Trailers,R,63,3,0.99,11.99,1
91,BOUND CHEAPER,A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon,Behind the Scenes,PG,98,5,0.99,17.99,1
92,BOWFINGER GABLES,A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California,"Trailers, Deleted Scenes",NC-17,72,7,4.99,19.99,1
93,BRANNIGAN SUNRISE,A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin,Trailers,PG,121,4,4.99,27.99,1
94,BRAVEHEART HUMAN,A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin,"Trailers, Deleted Scenes",PG-13,176,7,2.99,14.99,1
95,BREAKFAST GOLDFINGER,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,"Trailers, Commentaries, Deleted Scenes",G,123,5,4.99,18.99,1
96,BREAKING HOME,A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft,"Trailers, Commentaries",PG-13,169,4,2.99,21.99,1
97,BRIDE INTRIGUE,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,"Trailers, Commentaries, Behind the Scenes",G,56,7,0.99,24.99,1
98,BRIGHT ENCOUNTERS,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,Trailers,PG-13,73,4,4.99,12.99,1
99,BRINGING HYSTERICAL,A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat,Trailers,PG,136,7,2.99,14.99,1
100,BROOKLYN DESERT,A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station,Commentaries,R,161,7,4.99,21.99,1
101,BROTHERHOOD BLANKET,A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan,Behind the Scenes,R,73,3,0.99,26.99,1
102,BUBBLE GROSSE,A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon,"Trailers, Commentaries, Deleted Scenes, Behind the Scenes",R,60,4,4.99,20.99,1
103,BUCKET BROTHERHOOD,A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory,"Commentaries, Deleted Scenes",PG,133,7,4.99,27.99,1
104,BUGSY SONG,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,Commentaries,G,119,4,2.99,17.99,1
105,BULL SHAWSHANK,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,Deleted Scenes,NC-17,125,6,0.99,21.99,1
106,BULWORTH COMMANDMENTS,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,Trailers,G,61,4,2.99,14.99,1
107,BUNCH MINDS,A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention,Behind the Scenes,G,63,4,2.99,13.99,1
108,BUTCH PANTHER,A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans,"Trailers, Commentaries, Deleted Scenes",PG-13,67,6,0.99,19.99,1
109,BUTTERFLY CHOCOLAT,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,Behind the Scenes,G,89,3,0.99,17.99,1
110,CABIN FLASH,A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory,"Commentaries, Deleted Scenes",NC-17,53,4,0.99,25.99,1
111,CADDYSHACK JEDI,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,"Commentaries, Deleted Scenes",NC-17,52,3,0.99,17.99,1
112,CALENDAR GUNFIGHT,A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria,"Trailers, Commentaries, Behind the Scenes",NC-17,120,4,4.99,22.99,1
113,CALIFORNIA BIRDS,A Thrilling Yarn of a Database Administrator And a Robot who must Battle a Database Administrator in Ancient India,"Trailers, Commentaries, Deleted Scenes",NC-17,75,4,4.99,19.99,1
114,CAMELOT VACATION,A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention,"Trailers, Commentaries, Deleted Scenes, Behind the Scenes",NC-17,61,3,0.99,26.99,1
115,CAMPUS REMEMBER,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,Behind the Scenes,R,167,5,2.99,27.99,1
116,CANDIDATE PERDITION,A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station,"Deleted Scenes, Behind the Scenes",R,70,4,2.99,10.99,1
117,CANDLES GRAPES,A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House,"Trailers, Deleted Scenes",NC-17,135,6,4.99,15.99,1
118,CANYON STOCK,A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,"Trailers, Deleted Scenes",R,85,7,0.99,26.99,1
119,CAPER MOTIONS,A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention,"Trailers, Commentaries, Deleted Scenes",G,176,6,0.99,22.99,1
120,CARIBBEAN LIBERTY,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,"Commentaries, Deleted Scenes",NC-17,92,3,4.99,16.99,1
121,CAROL TEXAS,A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery,"Trailers, Behind the Scenes",PG,151,4,2.99,15.99,1
122,CARRIE BUNCH,A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies,"Trailers, Commentaries, Behind the Scenes",PG,114,7,0.99,11.99,1
123,CASABLANCA SUPER,A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station,"Trailers, Deleted Scenes, Behind the Scenes",G,85,6,4.99,22.99,1
124,CASPER DRAGONFLY,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,Trailers,PG-13,163,3,4.99,16.99,1
125,CASSIDY WYOMING,A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans,"Commentaries, Behind the Scenes",NC-17,61,5,2.99,19.99,1
126,CASUALTIES ENCINO,A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery,Trailers,G,179,3,4.99,16.99,1
127,CAT CONEHEADS,A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India,"Commentaries, Deleted Scenes",G,112,5,4.99,14.99,1
128,CATCH AMISTAD,A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria,"Trailers, Behind the Scenes",G,183,7,0.99,10.99,1
129,CAUSE DATE,A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention,"Commentaries, Deleted Scenes, Behind the Scenes",R,179,3,2.99,16.99,1
130,CELEBRITY HORN,A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,"Deleted Scenes, Behind the Scenes",PG-13,110,7,0.99,24.99,1
131,CENTER DINOSAUR,A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California,Deleted Scenes,PG,152,5,4.99,12.99,1
132,CHAINSAW UPTOWN,A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia,"Deleted Scenes, Behind the Scenes",PG,114,6,0.99,25.99,1
133,CHAMBER ITALIAN,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,Trailers,NC-17,117,7,4.99,14.99,1
134,CHAMPION FLATLINERS,A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery,Trailers,PG,51,4,4.99,21.99,1
135,CHANCE RESURRECTION,A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China,"Commentaries, Deleted Scenes, Behind the Scenes",R,70,3,2.99,22.99,1
136,CHAPLIN LICENSE,A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India,Behind the Scenes,NC-17,146,7,2.99,26.99,1
137,CHARADE DUFFEL,A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention,"Trailers, Deleted Scenes, Behind the Scenes",PG,66,3,2.99,21.99,1
138,CHARIOTS CONSPIRACY,A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station,"Deleted Scenes, Behind the Scenes",R,71,5,2.99,29.99,1
139,CHASING FIGHT,A Astounding Saga of a Technical Writer And a Butler who must Battle a Butler in A Shark Tank,"Trailers, Commentaries",PG,114,7,4.99,21.99,1
140,CHEAPER CLYDE,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,"Trailers, Commentaries, Behind the Scenes",G,87,6,0.99,23.99,1
141,CHICAGO NORTH,A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California,"Deleted Scenes, Behind the Scenes",PG-13,185,6,4.99,11.99,1
142,CHICKEN HELLFIGHTERS,A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia,"Trailers, Commentaries, Deleted Scenes, Behind the Scenes",PG,122,3,0.99,24.99,1
143,CHILL LUCK,A Lacklusture Epistle of a Boat And a Technical Writer who must Fight a A Shark in The Canadian Rockies,"Trailers, Commentaries, Deleted Scenes",PG,142,6,0.99,17.99,1
144,CHINATOWN GLADIATOR,A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India,"Trailers, Commentaries, Deleted Scenes",PG,61,7,4.99,24.99,1
145,CHISUM BEHAVIOR,A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India,"Trailers, Commentaries, Behind the Scenes",G,124,5,4.99,25.99,1
146,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,Commentaries,G,107,6,2.99,24.99,1
147,CHOCOLAT HARRY,A Action-Packed Epistle of a Dentist And a Moose who must Meet a Mad Cow in Ancient Japan,"Commentaries, Behind the Scenes",NC-17,101,5,0.99,16.99,1
148,CHOCOLATE DUCK,A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China,"Trailers, Commentaries, Behind the Scenes",R,132,3,2.99,13.99,1
149,CHRISTMAS MOONSHINE,A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse,"Trailers, Commentaries, Behind the Scenes",NC-17,150,7,0.99,21.99,1
150,CIDER DESIRE,A Stunning Character Study of a Composer And a Mad Cow who must Succumb a Cat in Soviet Georgia,Behind the Scenes,PG,101,7,2.99,9.99,1
151,CINCINATTI WHISPERER,A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin,Deleted Scenes,NC-17,143,5,4.99,26.99,1
152,CIRCUS YOUTH,A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon,"Trailers, Deleted Scenes, Behind the Scenes",PG-13,90,5,2.99,13.99,1
153,CITIZEN SHREK,A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback,"Commentaries, Deleted Scenes",G,165,7,0.99,18.99,1
154,CLASH FREDDY,A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia,"Commentaries, Deleted Scenes",G,81,6,2.99,12.99,1
155,CLEOPATRA DEVIL,A Fanciful Documentary of a Crocodile And a Technical Writer who must Fight a A Shark in A Baloon,"Trailers, Deleted Scenes, Behind the Scenes",PG-13,150,6,0.99,26.99,1
